source,location,lat,long
"Marret et al., 2020",GeoB 9521,13.848,-17.491
"Marret et al., 2020",A422,42.02,-69.15
"Marret et al., 2020",GeoB 9522,13.855,-17.454
"Marret et al., 2020",A421,42.67,-69.66
"Marret et al., 2020",GeoB 9525,12.64,-17.879
"Marret et al., 2020",A420,42.56,-67.92
"Marret et al., 2020",GeoB 9526,12.435,-18.056
"Marret et al., 2020",A419,41.92,-65.46
"Marret et al., 2020",GeoB 9527,12.432,-18.218
"Marret et al., 2020",A418,62.95,-21.62
"Marret et al., 2020",GeoB 9528,9.166,-17.664
"Marret et al., 2020",A417,60.94,-17.74
"Marret et al., 2020",GeoB 9529,9.353,-17.369
"Marret et al., 2020",A416,66.6,-10.46
"Marret et al., 2020",GeoB 9531,8.941,-16.904
"Marret et al., 2020",A415,57.94,-29.13
"Marret et al., 2020",GeoB 9532,8.948,-14.889
"Marret et al., 2020",A414,46.68,-8.97
"Marret et al., 2020",GeoB 9533,8.926,-14.911
"Marret et al., 2020",A2175,73.2422,-16.2959
"Marret et al., 2020",L1718,56.44,-61.99
